formula	Tf	Ax	Bx	Cx	Acn	Bcn	Ccn	Av	Bv	Cv	Air	Bir	Cir	Aav	Bav	Cav	Aced	Bced	Cced	Acp	Bcp	Ccp	Amac	Bmac	Cmac	Aap	Bap	Cap	Aen	Ben	Cen	DK
K2Mo2O7	-63	0.18	0.18	0.64	10	6	2	1	6	-2	1.59	0.59	1.35	7.572	1.558	1.736	1.32	0.9	0.85	2.25	4.65	0	417	163	36.6	19.69	4.08	0.54	0.8	1.8	3.5	7.5
LuNbO4	-64	0.17	0.17	0.67	8	8	2	3	5	-2	0.977	0.74	1.35	2.95	1.807	1.736	0.99	0.95	0.85	3.22	4.05	0	416	441	36.6	7.73	4.45	0.54	1.15	1.6	3.5	17.4
ErNbO4	-64	0.17	0.17	0.67	8	8	2	3	5	-2	1.004	0.74	1.35	3.064	1.807	1.736	1.02	0.95	0.85	3.22	4.05	0	373	441	36.6	7.46	4.45	0.54	1.1	1.6	3.5	16.6
MnWO4	-64	0.17	0.17	0.67	6	6	2	2	6	-2	0.83	0.6	1.35	1.22	1.586	1.736	0.79	0.92	0.85	4.45	4.8	0	93	458	36.6	3.48	2.4	0.54	1.5	1.7	3.5	14.5
DyNbO4	-66	0.17	0.17	0.67	8	8	2	3	5	-2	1.027	0.74	1.35	3.152	1.807	1.736	1.07	0.95	0.85	3.21	4.05	0	344	441	36.6	7.74	4.45	0.54	1.1	1.6	3.5	17.8
MgTi2O5	-66	0.12	0.25	0.62	6	6	2	2	4	-2	0.72	0.605	1.35	2.324	1.764	1.736	1.09	0.91	0.85	3.45	3.8	0	121	571	36.6	3.18	4.49	0.54	1.2	1.5	3.5	17.4
SrSiO3	-66	0.2	0.2	0.6	8	4	2	2	4	-2	1.26	0.26	1.35	5.632	2.002	1.736	1.39	1.18	0.85	2.4	4.7	0	373	189	36.6	7.6	2.19	0.54	1	1.8	3.5	6.8
Li2Mo4O13	-66	0.11	0.21	0.68	6	6	2	1	6	-2	0.76	0.59	1.35	2.162	1.558	1.736	1.75	0.9	0.85	2.85	4.65	0	1.96	163	36.6	9.1	4.08	0.54	1	1.8	3.5	8.8
SrZrO3	-67	0.2	0.2	0.6	10	6	2	2	4	-2	1.36	0.72	1.35	5.632	2.328	1.736	1.39	0.98	0.85	2.4	3.45	0	373	419	36.6	7.6	4.63	0.54	1	1.4	3.5	30
SrMoO4	-67	0.17	0.17	0.67	8	8	2	2	6	-2	1.26	0.73	1.35	5.632	1.558	1.736	1.39	0.9	0.85	2.4	4.65	0	373	163	36.6	7.6	4.08	0.54	1	1.8	3.5	9.5
Mg2SiO4	-67	0.29	0.14	0.57	6	4	2	2	4	-2	0.72	0.26	1.35	2.324	2.002	1.736	1.09	1.18	0.85	3.45	4.7	0	121	189	36.6	3.18	2.19	0.54	1.2	1.8	3.5	6.8
K2Mo4O13	-67	0.11	0.21	0.68	10	6	2	1	6	-2	1.59	0.59	1.35	7.572	1.558	1.736	1.32	0.9	0.85	2.25	4.65	0	417	163	36.6	19.69	4.08	0.54	0.8	1.8	3.5	6.8
K2Mo3O10	-67	0.13	0.2	0.67	10	6	2	1	6	-2	1.59	0.59	1.35	7.572	1.558	1.736	1.32	0.9	0.85	2.25	4.65	0	417	163	36.6	19.69	4.08	0.54	0.8	1.8	3.5	5.6
CeTe2O6	-68	0.11	0.22	0.67	8	6	2	4	4	-2	0.97	0.97	1.35	3.478	3.394	1.736	1.23	1.24	0.85	3.18	0	0	219	707	36.6	10.35	2.22	0.54	1.05	2.1	3.5	15.2
Na6Mo11O36	-68	0.11	0.21	0.68	8	6	2	1	6	-2	1.18	0.59	1.35	3.926	1.558	1.736	1.07	0.9	0.85	2.7	4.65	0	95.3	163	36.6	11.8	4.08	0.54	0.9	1.8	3.5	9.9
MgNb2O6	-70	0.11	0.22	0.67	6	7	2	2	5	-2	0.72	0.69	1.35	2.324	1.807	1.736	1.09	0.95	0.85	3.45	4.05	0	121	441	36.6	3.18	4.45	0.54	1.2	1.6	3.5	21.4
CoNb2O6	-70	0.11	0.22	0.67	6	7	2	2	5	-2	0.7	0.69	1.35	1.108	1.807	1.736	0.71	0.95	0.85	5.1	4.05	0	125	441	36.6	3.01	4.45	0.54	1.9	1.6	3.5	20.5
Mn4Nb2O9	-70	0.27	0.13	0.6	6	6	2	2	5	-2	0.83	0.64	1.35	1.22	1.807	1.736	0.79	0.95	0.85	4.45	4.05	0	93	441	36.6	3.48	4.45	0.54	1.5	1.6	3.5	16
Mg4Nb2O9	-70	0.27	0.13	0.6	6	6	2	2	5	-2	0.72	0.64	1.35	2.324	1.807	1.736	1.09	0.95	0.85	3.45	4.05	0	121	441	36.6	3.18	4.45	0.54	1.2	1.6	3.5	11
Mg4Ta2O9	-70	0.27	0.13	0.6	6	6	2	2	5	-2	0.72	0.64	1.35	2.324	1.801	1.736	1.09	0.95	0.85	3.45	4.05	0	121	444	36.6	3.18	2.47	0.54	1.2	1.5	3.5	10
Zn3Nb2O8	-71	0.23	0.15	0.62	6	6	2	2	5	-2	0.74	0.64	1.35	1.521	1.807	1.736	1.25	0.95	0.85	4.1	4.05	0	189	441	36.6	2.24	4.45	0.54	1.6	1.6	3.5	21
NiNb2O6	-71	0.11	0.22	0.67	6	7	2	2	5	-2	0.69	0.69	1.35	1.093	1.807	1.736	1.13	0.95	0.85	5.2	4.05	0	144	441	36.6	3.12	4.45	0.54	1.9	1.6	3.5	21
Na2Mo2O7	-72	0.18	0.18	0.64	9	6	2	1	6	-2	1.24	0.59	1.35	3.926	1.558	1.736	1.07	0.9	0.85	2.7	4.65	0	95.3	163	36.6	11.8	4.08	0.54	0.9	1.8	3.5	12.9
MnNb2O6	-74	0.11	0.22	0.67	8	6	2	2	5	-2	0.96	0.64	1.35	1.22	1.807	1.736	0.79	0.95	0.85	4.45	4.05	0	93	441	36.6	3.48	4.45	0.54	1.5	1.6	3.5	20.9
SmAlO3	-74	0.2	0.2	0.6	9	6	2	3	3	-2	1.132	0.535	1.35	3.318	1.66	1.736	1.11	1.25	0.85	3.2	4.2	0	284	152	36.6	8.62	5.23	0.54	1.05	1.5	3.5	20.4
MnMoO4	-74	0.17	0.17	0.67	6	5	2	2	6	-2	0.83	0.5	1.35	1.22	1.558	1.736	0.79	0.9	0.85	4.45	4.65	0	93	163	36.6	3.48	4.08	0.54	1.5	1.8	3.5	8.5
Ba2V2O7	-74	0.18	0.18	0.64	8	4	2	2	5	-2	1.42	0.355	1.35	6.299	1.392	1.736	1.44	0.86	0.85	2.32	4.25	0	461	68.4	36.6	11.07	4.48	0.54	0.9	1.6	3.5	7
ZnNb2O6	-75	0.11	0.22	0.67	6	6	2	2	5	-2	0.74	0.64	1.35	1.521	1.807	1.736	1.25	0.95	0.85	4.1	4.05	0	189	441	36.6	2.24	4.45	0.54	1.6	1.6	3.5	21.5
Na2MoO4	-76	0.29	0.14	0.57	6	6	2	1	6	-2	1.02	0.59	1.35	3.926	1.558	1.736	1.07	0.9	0.85	2.7	4.65	0	95.3	163	36.6	11.8	4.08	0.54	0.9	1.8	3.5	4.1
LaGaO3	-80	0.2	0.2	0.6	10	6	2	3	3	-2	1.27	0.76	1.35	3.741	1.947	1.736	1.34	1.38	0.85	3.17	4.1	0	202	212	36.6	8.68	4.47	0.54	1	1.6	3.5	27
CrNbO4	-80	0.17	0.17	0.67	6	6	2	3	5	-2	0.615	0.64	1.35	1.2	1.807	1.736	0.84	0.95	0.85	4.65	4.05	0	79.8	441	36.6	4.33	4.45	0.54	1.6	1.6	3.5	22
NdGaO3	-80	0.2	0.2	0.6	9	6	2	3	3	-2	1.163	0.76	1.35	3.418	1.947	1.736	1.17	1.38	0.85	3.19	4.1	0	252	212	36.6	9.38	4.47	0.54	1.05	1.6	3.5	22
La2Mo3O12	-80	0.12	0.18	0.71	9	8	2	3	6	-2	1.216	0.73	1.35	3.741	1.558	1.736	1.34	0.9	0.85	3.17	4.65	0	202	163	36.6	8.68	4.08	0.54	1	1.8	3.5	10.1
Bi12PbO19	-84	0.38	0.03	0.59	8	6	2	3	2	-2	1.17	1.19	1.35	3.538	3.034	1.736	1.38	1.43	0.85	4.15	4.1	0	596	579	36.6	4.04	4.16	0.54	1.9	1.9	3.5	38.6
ZnMoO4	-87	0.17	0.17	0.67	6	5	2	2	6	-2	0.74	0.61	1.35	1.521	1.558	1.736	1.25	0.9	0.85	4.1	4.65	0	189	163	36.6	2.24	4.08	0.54	1.6	1.8	3.5	8.7
BaTe4O9	-90	0.07	0.29	0.64	10	6	2	2	4	-2	1.52	0.97	1.35	6.299	3.394	1.736	1.44	1.24	0.85	2.32	0	0	461	707	36.6	11.07	2.22	0.54	0.9	2.1	3.5	17.5
BaMoO4	-90	0.17	0.17	0.67	12	8	2	3	6	-2	1.61	0.73	1.35	6.299	1.558	1.736	1.44	0.9	0.85	2.32	4.65	0	461	163	36.6	11.07	4.08	0.54	0.9	1.8	3.5	9
Mn2SiO4	-90	0.29	0.14	0.57	6	4	2	2	4	-2	0.83	0.26	1.35	1.22	2.002	1.736	0.79	1.18	0.85	4.45	4.7	0	93	189	36.6	3.48	2.19	0.54	1.5	1.8	3.5	8.5
Pb2WO5	-95	0.25	0.12	0.62	8	4	2	2	6	-2	1.29	0.42	1.35	3.034	1.586	1.736	1.43	0.92	0.85	4.1	4.8	0	579	458	36.6	4.16	2.4	0.54	1.9	1.7	3.5	16.4
LiNb3O8	-96	0.08	0.25	0.67	6	6	2	1	5	-2	0.76	0.64	1.35	2.162	1.807	1.736	1.75	0.95	0.85	2.85	4.05	0	1.96	441	36.6	9.1	4.45	0.54	1	1.6	3.5	24
Mn2P2O7	-96	0.18	0.18	0.64	6	5	2	2	5	-2	0.83	0.29	1.35	1.22	1.899	1.736	0.79	1.09	0.85	4.45	5.55	0	93	229	36.6	3.48	1.34	0.54	1.5	2.1	3.5	7.3
