formula	Qf	Ax	Bx	Cx	Dx	Acn	Bcn	Ccn	Dcn	Air	Bir	Cir	Dir	Aap	Bap	Cap	Dap	Aen	Ben	Cen	Den	Amac	Bmac	Cmac	Dmac	Aaw	Baw	Caw	Daw	Aym	Bym	Cym	Dym	Ame	Bme	Cme	Dme	eps
(LiBi)0.5MoO4	3200	0.08	0.08	0.17	0.67	8	8	4	2	0.92	1.17	0.59	1.35	9.1	4.04	4.08	0.54	3.01	4.69	3.9	7.54	1.96	596	163	36.6	6.941	208.98	95.94	15.999	4.9	34	324.8	0	2.93	10.9	28	0.444	41.7
Ba0.6Sr0.4TiO3	300	0.12	0.08	0.2	0.6	12	12	6	2	1.35	1.18	0.605	1.35	11.07	7.6	4.49	0.54	2.4	2	3.45	7.54	461	373	571	36.6	137.327	87.62	47.88	15.999	12.8	15.7	120.2	0	7.8	8.2	18.8	0.444	838
Zn0.4Co0.6TiO3	70000	0.08	0.12	0.2	0.6	12	6	6	2	0.9	2.99	6.61	1.35	2.24	3.01	4.49	0.54	4.45	4.3	3.45	7.54	189	125	571	36.6	65.39	58.933	47.88	15.999	104.5	211	120.2	0	7.28	16.3	18.8	0.444	28
Ba8Nb4Ti3O24	22000	0.21	0.1	0.08	0.62	12	6	6	2	1.61	0.64	0.605	1.35	11.07	4.45	4.49	0.54	2.4	4	3.45	7.54	461	441	571	36.6	137.327	92.906	47.88	15.999	12.8	104.9	120.2	0	7.8	26.8	18.8	0.444	44.1
La5GaTi3O15	30300	0.21	0.04	0.12	0.62	12	6	6	2	1.36	0.62	0.605	1.35	8.68	4.47	4.49	0.54	3.1	3.2	3.45	7.54	202	212	571	36.6	138.906	69.723	47.88	15.999	37.9	9.8	120.2	0	10	5.59	18.8	0.444	35
Sr4Ce2Ti7O22	11100	0.11	0.06	0.2	0.63	6	6	6	2	1.18	0.87	0.605	1.35	7.6	10.35	4.49	0.54	2	3	3.45	7.54	373	219	571	36.6	87.62	140.115	47.88	15.999	15.7	33.5	120.2	0	8.2	8.9	18.8	0.444	133
La6MgTi4O18	27350	0.21	0.03	0.14	0.62	12	6	6	2	1.36	0.72	0.605	1.35	8.68	3.18	4.49	0.54	3.1	8.3	3.45	7.54	202	121	571	36.6	138.906	24.305	47.88	15.999	37.9	44.7	120.2	0	10	8.9	18.8	0.444	36.3
Ba0.2Sr0.8TiO3	2400	0.04	0.16	0.2	0.6	12	12	6	2	1.35	1.18	0.605	1.35	11.07	7.6	4.49	0.54	2.4	2	3.45	7.54	461	373	571	36.6	137.327	87.62	47.88	15.999	12.8	15.7	120.2	0	7.8	8.2	18.8	0.444	363
BaLi2Ti6O14	23300	0.04	0.09	0.26	0.61	12	6	6	2	1.24	0.9	6.61	1.35	11.07	9.1	4.49	0.54	2.4	3.01	3.45	7.54	461	1.96	571	36.6	137.327	6.941	47.88	15.999	12.8	4.9	120.2	0	7.8	2.93	18.8	0.444	31.7
Sm(Zn0.5Ti0.5)O3	37000	0.2	0.1	0.1	0.6	12	6	6	2	1.32	0.88	6.61	1.35	8.62	2.24	4.49	0.54	3.1	4.45	3.45	7.54	284	189	571	36.6	150.36	65.39	47.88	15.999	49.7	104.5	120.2	0	10.9	7.28	18.8	0.444	31
(Bi0.8La0.2)2Mo2O9	13500	0.12	0.03	0.15	0.69	6	6	4	2	1.06	1.032	0.59	1.35	4.04	8.68	4.08	0.54	4.69	3.1	3.9	7.54	596	202	163	36.6	208.98	138.906	95.94	15.999	34	37.9	324.8	0	10.9	10	28	0.444	32.7
Ba2BiV3O11	68700	0.12	0.06	0.18	0.65	11.5	5	8	2	1.61	0.96	0.54	1.35	11.07	4.04	4.48	0.54	2.4	4.69	3.6	7.54	461	596	68.4	36.6	137.327	208.98	50.942	15.999	12.8	34	127.6	0	7.8	10.9	17.5	0.444	14.2
Ca(Er0.5Ta0.5)O3	29600	0.2	0.1	0.1	0.6	12	6	6	2	1.4	3.37	7.81	1.35	6.22	7.46	2.47	0.54	2.2	3.3	4.11	7.54	468	373	444	36.6	40.078	167.26	180.948	15.999	19.6	69.9	185.7	0	8.6	17.2	24.7	0.444	26
