formula	tf	Ax	Bx	Cx	Dx	Acn	Bcn	Ccn	Dcn	Av	Bv	Cv	Dv	Air	Bir	Cir	Dir	Aav	Bav	Cav	Dav	Aced	Bced	Cced	Dced	Acp	Bcp	Ccp	Dcp eps
BaLi2Ti6O14	-15	0.04	0.09	0.26	0.61	12	6	6	2	2	1	4	-2	1.24	0.9	6.61	1.35	6.299	2.162	1.764	1.736	1.44	1.75	0.91	0.85	2.32	2.85	3.8	0	31.7
Li3Bi2P3O12	-15	0.15	0.1	0.15	0.6	4.5	6	4	2	1	3	5	-2	0.76	1.03	0.38	1.35	2.162	3.538	1.899	1.736	1.75	1.38	1.09	0.85	2.85	4.15	5.55	0	15.8
Sm(Co0.5Ti0.5)O3	-16	0.2	0.1	0.1	0.6	12	6	6	2	3	2	4	-2	1.32	2.99	6.61	1.35	3.318	1.108	1.764	1.736	1.11	0.71	0.91	0.85	3.2	5.1	3.8	0	25.5
Ba(Eu0.5Ta0.5)O3	-16	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.24	3.17	7.81	1.35	6.299	4.813	1.801	1.736	1.44	1.1	0.95	0.85	2.32	3.2	4.05	0	37
La5Mg0.5Ti3.5O15	-16	0.21	0.02	0.15	0.62	12	6	6	2	3	2	4	-2	1.5	0.86	6.61	1.35	3.741	2.324	1.764	1.736	1.34	1.09	0.91	0.85	3.17	3.45	3.8	0	34
Ba(Co0.33Ta0.67)O3	-16	0.2	0.07	0.13	0.6	12	6	6	2	2	2	5	-2	1.24	2.99	7.81	1.35	6.299	1.108	1.801	1.736	1.44	0.71	0.95	0.85	2.32	5.1	4.05	0	25
Gd(Ti0.5W0.5)O4	-16	0.17	0.08	0.08	0.67	12	6	6	2	3	4	6	-2	1.25	0.745	14.29	1.35	3.31	1.764	1.586	1.736	1.09	0.91	0.92	0.85	3.2	3.8	4.8	0	22.2
Ba4.2Sm9.2Ti18O54	-16	0.05	0.11	0.21	0.63	12	12	6	2	2	3	4	-2	1.35	0.958	0.605	1.35	6.299	3.318	1.764	1.736	1.44	1.11	0.91	0.85	2.32	3.2	3.8	0	82.1
Pb0.5Ca0.5ZrO3	-17	0.1	0.1	0.2	0.6	12	12	6	2	2	2	4	-2	1.49	1	0.72	1.35	3.034	4.633	2.328	1.736	1.43	1.25	0.98	0.85	4.1	2.55	3.45	0	74
CaCu2Nb2O8	-17	0.08	0.15	0.15	0.62	6	6	6	2	2	2	5	-2	1.37	0.57	0.48	1.35	4.633	1.181	1.807	1.736	1.25	1.12	0.95	0.85	2.55	4.45	4.05	0	11.6
Dy2BaCuO5	-17	0.22	0.11	0.11	0.56	11	7	5	2	3	2	2	-2	1.083	1.38	0.73	1.35	3.152	6.299	1.181	1.736	1.07	1.44	1.12	0.85	3.21	2.32	4.45	0	14.9
Pr(Mg0.5Ti0.5)O3	-17	0.2	0.1	0.1	0.6	12	6	6	2	3	2	4	-2	1.2	0.86	6.61	1.35	3.456	2.324	1.764	1.736	1.2	1.09	0.91	0.85	3.19	3.45	3.8	0	28
Ba4.5Sm9Ti18O54	-17	0.05	0.11	0.21	0.63	12	12	6	2	2	3	4	-2	1.35	0.958	0.605	1.35	6.299	3.318	1.764	1.736	1.44	1.11	0.91	0.85	2.32	3.2	3.8	0	83
Ca(Er0.5Nb0.5)O3	-18	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.4	3.37	10.42	1.35	4.633	3.064	1.807	1.736	1.25	1.02	0.95	0.85	2.55	3.22	4.05	0	32
Ba(Gd0.5Ta0.5)O3	-18	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.24	3.2	7.81	1.35	6.299	3.31	1.801	1.736	1.44	1.09	0.95	0.85	2.32	3.2	4.05	0	36
Ba(Ni0.33Nb0.67)O3	-18	0.2	0.07	0.13	0.6	12	6	6	2	2	2	5	-2	1.24	0.83	10.42	1.35	6.299	1.093	1.807	1.736	1.44	1.13	0.95	0.85	2.32	5.2	4.05	0	31
Gd2BaZnO5	-18	0.22	0.11	0.11	0.56	9	7	5	2	3	2	2	-2	1.107	1.38	0.68	1.35	3.31	6.299	1.521	1.736	1.09	1.44	1.25	0.85	3.2	2.32	4.1	0	17.2
SrY4Si3O13	-18	0.05	0.19	0.14	0.62	9	8	4	2	2	3	4	-2	0.131	1.019	0.26	1.35	5.632	3.318	2.002	1.736	1.39	1.22	1.18	0.85	2.4	3.2	4.7	0	12.6
Ba(Ni0.33Ta0.67)O3	-18	0.2	0.07	0.13	0.6	12	6	6	2	2	2	5	-2	1.24	0.83	7.81	1.35	6.299	1.093	1.801	1.736	1.44	1.13	0.95	0.85	2.32	5.2	4.05	0	23
LaSrAlO4	-19	0.14	0.14	0.14	0.57	9	9	6	2	3	2	3	-2	1.216	1.31	0.535	1.35	3.741	5.632	1.66	1.736	1.34	1.39	1.25	0.85	3.17	2.4	4.2	0	15.3
Y(Ti0.5W0.5)O4	-19	0.17	0.08	0.08	0.67	12	6	6	2	3	4	6	-2	1.075	0.745	14.29	1.35	3.318	1.764	1.586	1.736	1.22	0.91	0.92	0.85	3.2	3.8	4.8	0	19.3
Sm(Zn0.5Ti0.5)O3	-19	0.2	0.1	0.1	0.6	12	6	6	2	3	2	4	-2	1.32	0.88	6.61	1.35	3.318	1.521	1.764	1.736	1.11	1.25	0.91	0.85	3.2	4.1	3.8	0	31
Pr(Ti0.5W0.5)O4	-20	0.17	0.08	0.08	0.67	12	6	6	2	3	4	6	-2	1.2	0.745	14.29	1.35	3.456	1.764	1.586	1.736	1.2	0.91	0.92	0.85	3.19	3.8	4.8	0	20.3
YTiTaO6	-20	0.11	0.11	0.11	0.67	12	6	6	2	3	4	5	-2	1.075	0.745	7.81	1.35	3.318	1.764	1.801	1.736	1.22	0.91	0.95	0.85	3.2	3.8	4.05	0	22.1
SrGd4Si3O13	-20	0.05	0.19	0.14	0.62	9	8	4	2	2	3	4	-2	0.131	1.053	0.26	1.35	5.632	3.31	2.002	1.736	1.39	1.09	1.18	0.85	2.4	3.2	4.7	0	12.6
Gd2BaCuO5	-20	0.22	0.11	0.11	0.56	9	7	5	2	3	2	2	-2	1.107	1.38	0.73	1.35	3.31	6.299	1.181	1.736	1.09	1.44	1.12	0.85	3.2	2.32	4.45	0	16
SrTm4Si3O13	-20	0.05	0.19	0.14	0.62	9	8	4	2	2	3	4	-2	0.131	0.994	0.26	1.35	5.632	3.01	2.002	1.736	1.39	1.01	1.18	0.85	2.4	3.22	4.7	0	11.2
Ba3.9Sm9.4Ti18O54	-20	0.05	0.11	0.21	0.63	12	12	6	2	2	3	4	-2	1.35	0.958	0.605	1.35	6.299	3.318	1.764	1.736	1.44	1.11	0.91	0.85	2.32	3.2	3.8	0	79.4
Ca(Eu0.5Ta0.5)O3	-22	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.4	3.17	7.81	1.35	4.633	4.813	1.801	1.736	1.25	1.1	0.95	0.85	2.55	3.2	4.05	0	26.8
